#春秋音義所音專有名詞中古音轉寫
word	middle_chinese_baxter_translation
青蠅	蠅<ying>
計□城	□<ki,gi,ki>
且于	且<tsjo>
且居	且<tsjo>
中分	中<trjuwng,trjuwngH>分<pjun>
中子	中<drjuwngH>
中行	中<drjuwngH>行<hang>
乘車	乘<zyingH>
計亓城	亓<ki,gi,ki>
角亢	亢<kang,khangH>
亳城	亳<bak,bak>
亳社	亳<bak>
景亳	亳<bak>
西河介休縣	介<keajH>休<xjiw>
仍	仍<nying>
北宮他	他<da>
令狐	令<leng>
令狐	令<ljeng>
仲子	仲<drjuwngH>
仲行	仲<drjuwngH>行<hang>
任姓	任<nyim>
任城亢父縣	任<nyim>亢<khangH,kang>父<pjuX>
商任	任<nyim>
周任	任<nyim>
任大夫	任<nyim>
秦伯任好	任<nyim>
伶人	伶<leng>
季佗	佗<da>
尹公佗	佗<da>
祝佗父	佗<da>
五父佗	佗<da>
北宮佗	佗<da>
史佚	佚<yit>
佞夫	佞<nengH>
侯田	侯<huw,huwH>
候人亭	侯<huw,huwH>
子俞彌	俞<yu>
甯俞子	俞<yu>
甯俞	俞<yu>
偪陽	偪<pjuwk,pik>
高傒	傒<hej>
工僂	僂<luw>
僂堙	僂<luw>堙<’jin>
工僂灑	僂<luw>灑<sreaX,srjeX>
僑如	僑<gjew>
叔孫僑如	僑<gjew>
袁僑如	僑<gjew>
長狄僑如	僑<gjew>
鄭公孫僑	僑<gjew>
舟之僑	僑<gjew>
王儋季	儋<tam>
儋括	儋<tam>括<kwat>
伯儵	儵<drjuw>
曹共公	共<kjowng>
共仲	共<kjowng>
共工	共<kjowng>
陳共	共<kjowng>
陳共公	共<kjowng>
共王	共<kjowng>
宋共公	共<kjowng>
鄭共仲	共<kjowng>
楚共王	共<kjowng>
共姬	共<kjowng>
萊共公浮柔	共<kjowng>
衛石共子	共<kjowng>
共姬	共<kjowng>
宋共姬	共<kjowng>
共王	共<kjowng>
共王	共<kjowng>
楚共王	共<kjowng>
陳共公	共<kjowng>
計其城	其<ki,gi,ki>
封具	具<gjuH>
叔山冉	冉<nyemX>
玄冥	冥<meng>
公冶	冶<yaeX>
冶廑	冶<yaeX>廑<ginH,kj+nX,gj+n>
凌陰	凌<lingH,ling>
函氏	函<heam>
函陵	函<heam>
刳首	刳<khu>
公孫剽	剽<phjiewH,phjiewH>
公孫剽	剽<phjiewH,pjiew,剽<bjiewH>
衛侯剽	剽<phjiewH>
莒公子務婁	務<muw,mjuH>婁<luw,lju>
務婁	務<mjuH,muw,mju>婁<luw>
趙勝	勝<sying,syingH>
范匃	匃<kajH>
范匄	匄<kajH>
杞伯匃	匃<kajH>
杞伯匄	匄<kajH>
士匃	匃<kajH>
士匄	匄<kajH>
杞伯匄	匄<kajH>
士匄	匄<kajH>
匏有苦葉	匏<baew>
孟公卓	卓<tsyhak>
卞邑	卞<bjenH>
公子卬	卬<ngang>
司徒卬	卬<ngang>
司馬卯	卯<maewX>
子印	印<’jinH>
印堇父	印<’jinH>堇<kj+nX>
印段	印<’jinH>
印	印<’jinH>
卷楚	卷<gjwen,kjwenX>
豐卷	卷<kjwenX,kjwenX>
熒陽卷縣	卷<gjwen,khjwen>
大厖	厖<maewng>
去疾	去<khjoX>
