#《禮記·大學》中古音及中州音
# 多音字及通假字擇音遵《禮記正義》及《四書章句集註》
# version: 20190514
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
char	middle_chinese	mandarin
大	dajH	dai˨˦
學	haewk	ɦiɒʔ(k)˩
之	tsyi	tʃɨ
道。	dawX	daw'˨˦
在	dzojX	dzai'˨˦
明	mjaeng	miŋ˩
明	mjaeng	miŋ˩
德。	tok	təʔ(k)
在	dzojX	dzai'˨˦
親	sin	sin
民。	mjin	min˩
在	dzojX	dzai'˨˦
止	tsyiX	tʃɨ˥˧
于	hju	jy˩
至	tsyijH	tʃɨ˨˦
善。	dzyenX	ʃʱiɛn'˨˦
知	trje	tʃi
止	tsyiX	tʃɨ˥˧
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
有	hjuwX	jiow˥˧
定。	dengH	diŋ˨˦
定	dengH	diŋ˨˦
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
能	nong	nəŋ˩
靜。	dzjengX	dziŋ'˨˦
靜	dzjengX	dziŋ'˨˦
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
能	nong	nəŋ˩
安。	'an	ʔɑn
安	'an	ʔɑn
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
能	nong	nəŋ˩
慮。	ljoH	ly˨˦
慮	ljoH	ly˨˦
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
能	nong	nəŋ˩
得。	tok	təʔ(k)
物	mjut	vuʔ(t)˩
有	hjuwX	jiow˥˧
本	pwonX	pun˥˧
末。	mat	mwɔʔ(t)˩
事	dzriH	ʂʱɨ˨˦
有	hjuwX	jiow˥˧
終	tsyuwng	tʃyuŋ
始。	syiX	ʃɨ˥˧
知	trje	tʃi
所	srjoX	ʂu˥˧
先	senH	siɛn˨˦
後。	huwH	ɦow˨˦
則	tsok	tsəʔ(k)
近	gj+nH	gin˨˦
道	dawX	daw'˨˦
矣。	hiX	ji˥˧
古	kuX	ku˥˧
之	tsyi	tʃɨ
欲	yowk	jyuʔ(k)˩
明	mjaeng	miŋ˩
明	mjaeng	miŋ˩
德	tok	təʔ(k)
于	hju	jy˩
天	then	tʰiɛn
下	haeX	ɦia˨˦
者。	tsyaeX	tʃiɛ˥˧
先	sen	siɛn
治	dri	tʃʰi˩
其	gi	kʰi˩
國。	kwok	kwəʔ(k)
欲	yowk	jyuʔ(k)˩
治	dri	tʃʰi˩
其	gi	kʰi˩
國	kwok	kwəʔ(k)
者。	tsyaeX	tʃiɛ˥˧
先	sen	siɛn
齊	dzej	tsʰi˩
其	gi	kʰi˩
家。	kae	kia
欲	yowk	jyuʔ(k)˩
齊	dzej	tsʰi˩
其	gi	kʰi˩
家	kae	kia
者。	tsyaeX	tʃiɛ˥˧
先	sen	siɛn
脩	sjuw	siow
其	gi	kʰi˩
身。	syin	ʃin
欲	yowk	jyuʔ(k)˩
脩	sjuw	siow
其	gi	kʰi˩
身	syin	ʃin
者。	tsyaeX	tʃiɛ˥˧
先	sen	siɛn
正	tsyengH	tʃiŋ˨˦
其	gi	kʰi˩
心。	sim	sim
欲	yowk	jyuʔ(k)˩
正	tsyengH	tʃiŋ˨˦
其	gi	kʰi˩
心	sim	sim
者。	tsyaeX	tʃiɛ˥˧
先	sen	siɛn
誠	dzyeng	tʃʰiŋ˩
其	gi	kʰi˩
意。	'iH	ʔi˨˦
欲	yowk	jyuʔ(k)˩
誠	dzyeng	tʃʰiŋ˩
其	gi	kʰi˩
意	'iH	ʔi˨˦
者。	tsyaeX	tʃiɛ˥˧
先	sen	siɛn
致	trijH	tʃi˨˦
其	gi	kʰi˩
知。	trje	tʃi
致	trijH	tʃi˨˦
知	trje	tʃi
在	dzojX	dzai'˨˦
格	kaek	kəʔ(k)
物。	mjut	vuʔ(t)˩
物	mjut	vuʔ(t)˩
格	kaek	kəʔ(k)
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
知	trje	tʃi
至。	tsyijH	tʃɨ˨˦
知	trje	tʃi
至	tsyijH	tʃɨ˨˦
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
意	'iH	ʔi˨˦
誠。	dzyeng	tʃʰiŋ˩
意	'iH	ʔi˨˦
誠	dzyeng	tʃʰiŋ˩
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
心	sim	sim
正。	tsyengH	tʃiŋ˨˦
心	sim	sim
正	tsyengH	tʃiŋ˨˦
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
身	syin	ʃin
脩。	sjuw	siow
身	syin	ʃin
脩	sjuw	siow
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
家	kae	kia
齊。	dzej	tsʰi˩
家	kae	kia
齊	dzej	tsʰi˩
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
國	kwok	kwəʔ(k)
治。	driH	dʒi˨˦
國	kwok	kwəʔ(k)
治	driH	dʒi˨˦
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
天	then	tʰiɛn
下	haeX	ɦia'˨˦
平。	bjaeng	pʰiŋ˩
自	dzijH	dzɨ˨˦
天	then	tʰiɛn
子	tsiX	tsɨ˥˧
以	yiX	ji˥˧
至	tsyijH	tʃɨ˨˦
于	hju	jy˩
庶	syoH	ʃy˨˦
人。	nyin	ʒin˩
壹	'jit	ʔiʔ(t)
是	dzyeX	ʃʱi'˨˦
皆	keaj	kiai
以	yiX	ji˥˧
脩	sjuw	siow
身	syin	ʃin
爲	hjwe	ui˩
本。	pwonX	pun˥˧
其	gi	kʰi˩
本	pwonX	pun˥˧
亂	lwanH	lwɔn˨˦
而	nyi	ɻ˩
末	mat	mwɔʔ(t)˩
治	driH	dʒi˨˦
者	tsyaeX	tʃiɛ˥˧
否	pjuwX	fow˥˧
矣。	hiX	ji˥˧
其	gi	kʰi˩
所	srjoX	ʂu˥˧
厚	huwH	ɦow˨˦
者	tsyaeX	tʃiɛ˥˧
薄。	bak	bɒʔ(k)˩
而	nyi	ɻ˩
其	gi	kʰi˩
所	srjoX	ʂu˥˧
薄	bak	bɒʔ(k)˩
者	tsyaeX	tʃiɛ˥˧
厚。	huwX	ɦow'˨˦
未	mj+jH	vi˨˦
之	tsyi	tʃɨ
有	hjuwX	jiow˥˧
也。	yaeX	jiɛ˥˧
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
知	trje	tʃi
本。	pwonX	pun˥˧
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
知	trje	tʃi
之	tsyi	tʃɨ
至	tsyijH	tʃɨ˨˦
也。	yaeX	jiɛ˥˧
所	srjoX	ʂu˥˧
謂	hjw+jH	ui˨˦
誠	dzyeng	tʃʰiŋ˩
其	gi	kʰi˩
意	'iH	ʔi˨˦
者。	tsyaeX	tʃiɛ˥˧
毋	mju	vu˩
自	dzijH	dzɨ˨˦
欺	khi	kʰi
也。	yaeX	jiɛ˥˧
如	nyo	ʒy˩
惡	'uH	ʔu˨˦
惡	'ak	ʔɒʔ(k)
臭。	tsyhuwH	tʃʰiow˨˦
如	nyo	ʒy˩
好	xawH	haw˨˦
好	xawX	haw˥˧
色。	srik	ʂəʔ(k)
此	tshjeX	tsʰɨ˥˧
之	tsyi	tʃɨ
謂	hjw+jH	ui˨˦
自	dzijH	dzɨ˨˦
謙。	khemX/khep	kʰiɛm˥˧/kʰiɛʔ(p)
故	kuH	ku˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
必	pjit	piʔ(t)
慎	dzyinH	ʃʱin˨˦
其	gi	kʰi˩
獨	duwk	duʔ(k)˩
也。	yaeX	jiɛ˥˧
小	sjewX	siɛw˥˧
人	nyin	ʒin˩
閒	hean	ɦian˩
居	kjo	ky
爲	hjwe	ui˩
不	pjuw	puʔ(t)
善。	dzyenX	ʃʱiɛn'˨˦
無	mju	vu˩
所	srjoX	ʂu˥˧
不	pjuw	puʔ(t)
至。	tsyijH	tʃɨ˨˦
見	kenH	kiɛn˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
厭	jiemX/'jiep	ʔiɛm˥˧/ʔiɛʔ(p)
然。	nyen	ʒiɛn˩
揜	'jemX	ʔiɛm˥˧
其	gi	kʰi˩
不	pjuw	puʔ(t)
善	dzyenX	ʃʱiɛn'˨˦
而	nyi	ɻ˩
著	trjoH	tʃy˨˦
其	gi	kʰi˩
善。	dzyenX	ʃʱiɛn'˨˦
人	nyin	ʒin˩
之	tsyi	tʃɨ
視	dzyijX	ʃʱi'˨˦
己。	kiX	ki˥˧
如	nyo	ʒy˩
見	kenH	kiɛn˨˦
其	gi	kʰi˩
肺	phjojH	fi˨˦
肝	kan	kɑn
然。	nyen	ʒiɛn˩
則	tsok	tsəʔ(k)
何	ha	ɦɔ˩
益	'jiek	ʔiʔ(k)
矣。	hiX	ji˥˧
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
誠	dzyeng	tʃʰiŋ˩
于	hju	jy˩
中。	trjuwng	tʃyuŋ
形	heng	ɦiŋ˩
于	hju	jy˩
外。	ngwajH	ŋwai˨˦
故	kuH	ku˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
必	pjit	piʔ(t)
慎	dzyinH	ʃʱin˨˦
其	gi	kʰi˩
獨	duwk	duʔ(k)˩
也。	yaeX	jiɛ˥˧
曾	tsong	tsəŋ
子	tsiX	tsɨ˥˧
曰。	hjwot	yuɛʔ(t)˩
十	dzyip	ʃʱiʔ(p)˩
目	mjuwk	muʔ(k)˩
所	srjoX	ʂu˥˧
視。	dzyijX	ʃʱi'˨˦
十	dzyip	ʃʱiʔ(p)˩
手	syuwX	ʃiow˥˧
所	srjoX	ʂu˥˧
指。	tsyijX	tʃɨ˥˧
其	gi	kʰi˩
嚴	ngjaem	jiɛm˩
乎。	hu	ɦu˩
富	pjuwH	fow˨˦
潤	nywinH	ʒyun˨˦
屋。	'uwk	ʔuʔ(k)
德	tok	təʔ(k)
潤	nywinH	ʒyun˨˦
身。	syin	ʃin
心	sim	sim
廣	kwangX	kwɑŋ˥˧
體	thejX	tʰi˥˧
胖。	ban	pʰwɔn˩
故	kuH	ku˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
必	pjit	piʔ(t)
誠	dzyeng	tʃʰiŋ˩
其	gi	kʰi˩
意。	'iH	ʔi˨˦
詩	syi	ʃɨ
云。	hjun	yun˩
瞻	tsyem	tʃiɛm
彼	pjeX	pi˥˧
淇	gi	kʰi˩
澳。	'juwk	ʔyuʔ(k)
菉	ljowk	luʔ(k)˩
