#《歸去來兮》中古音及中州音
#version: 20200414
#author: hhliow (github.com/hhliow)
#license: cc by-nc-sa 4.0
	mandarin洪武正韻音	middle_chinese
余	jy˩	
家	kia	
貧。	pʱin˩	
耕	kəŋ	
植	ʃʱiʔ(k)˩	
不	puʔ(t)	
足	tsyuʔ(k)	
以	ji˥˧	
自	dzɨ˨˦	
給。	kiʔ(p)	
幼	ʔiəw˨˦	
稺	dʒi˨˦	
盈	jiŋ˩	
室。	ʃiʔ(t)	
缾	pʱiŋ˩	
無	vu˩	
儲	tʃʰy˩	
粟。	syuʔ(k)	
生	ʂəŋ˨˦	
生	ʂəŋ	
所	ʂu˥˧	
資。	tsɨ	
未	vi˨˦	
見	kiɛn˨˦	
其	kʱi˩	
術。	ʃʱyʔ(t)˩	
親	tsʰin	
故	ku˨˦	
多	tɔ	
勸	kʰyuɛn˨˦	
余	jy˩	
爲	ui˩	
長	tʃiɑŋ˥˧	
吏。	li˨˦	
脫	tʰwɔʔ(t)	
然	ʒiɛn˩	
有	jiəw˥˧	
懷。	ɦwai˩	
求	kʱiəw˩	
之	tʃɨ	
靡	miɪi˥˧	
途。	tʱu˩	
會	ɦui˨˦	
有	jiəw˥˧	
四	sɨ˨˦	
方	fɑŋ	
之	tʃɨ	
事。	ʂʱɨ˨˦	
諸	tʃy	
侯	ɦəw˩	
以	ji˥˧	
惠	ɦui˨˦	
愛	ʔai˨˦	
爲	ui˩	
德。	təʔ(k)	
家	kia	
叔	ʃyuʔ(k)	
以	ji˥˧	
余	jy˩	
貧	pʱin˩	
苦。	kʰu˥˧	
遂	sʱui˨˦	
見	kiɛn˨˦	
用	jyuŋ˨˦	
于	jy˩	
小	siɛw˥˧	
邑。	ʔiʔ(p)	
于	jy˩	
時	ʃʱɨ˩	
風	fuŋ	
波	pwɔ	
未	vi˨˦	
靜。	dziŋ˨˦	
心	sim	
憚	dan˨˦	
遠	jyuɛn˥˧	
役。	jyuəʔ(k)˩	
彭	pʱəŋ˩	
澤	ɖʐəʔ(k)˩	
去	kʰy˨˦	
家	kia	
百	pəʔ(k)	
里。	li˥˧	
公	kuŋ	
田	tʱiɛn˩	
之	tʃɨ	
利。	li˨˦	
足	tsyuʔ(k)	
以	ji˥˧	
爲	ui˩	
酒。	tsiəw˥˧	
故	ku˨˦	
便	biɛn˨˦	
求	kʱiəw˩	
之。	tʃɨ	
及	giʔ(p)˩	
少	ʃiɛw˥˧	
日。	ʒiʔ(t)˩	
眷	kyuɛn˨˦	
然	ʒiɛn˩	
有	jiəw˥˧	
歸	kui	
歟	jy˩	
之	tʃɨ	
情。	tsʱiŋ˩	
何	ɦɔ˩	
則。	tsəʔ(k)	
質	tʃiʔ(t)	
性	siŋ˨˦	
自	dzɨ˨˦	
然。	ʒiɛn˩	
非	fi	
矯	kiɛw˥˧	
厲	liɪi˨˦	
所	ʂu˥˧	
得。	təʔ(k)	
飢	ki	
凍	tuŋ˨˦	
雖	sui	
切。	tsʰiɛʔ(t)	
違	ui˩	
己	ki˥˧	
交	kiaw	
病。	biŋ˨˦	
嘗	(t)ʃʱiɑŋ˩	
從	tsʱyuŋ˩	
人	ʒin˩	
事。	ʂʱɨ˨˦	
皆	kiai	
口	kʰəw˥˧	
腹	fuʔ(k)	
自	dzɨ˨˦	
役。	jyuəʔ(k)˩	
于	jy˩	
是	ʃʱɨ˨˦	
悵	tʃʰiɑŋ˨˦	
然	ʒiɛn˩	
慷	kʰɑŋ˥˧	
慨。	kʰai˨˦	
深	ʃim	
愧	kui˨˦	
平	pʱiŋ˩	
生	ʂəŋ	
之	tʃɨ	
志。	tʃɨ˨˦	
猶	jiəw˩	
望	vɑŋ˨˦	
一	ʔiʔ(t)	
稔。	ʒim˥˧	
當	tɑŋ	
斂	liɛm˨˦	
裳	(t)ʃʱiɑŋ˩	
宵	siɛw	
逝。	ʃʱiɪi˨˦	
尋	sʱim˩	
程	tʃʱiŋ˩	
氏	ʃʱɨ˨˦	
妹	mui˨˦	
喪	sɑŋ	
于	jy˩	
武	vu˥˧	
昌。	tʃʰiɑŋ	
情	tsʱiŋ˩	
在	dzai˨˦	
駿	syun˨˦	
奔。	pun˨˦	
自	dzɨ˨˦	
免	miɛn˥˧	
去	kʰy˨˦	
職。	tʃiʔ(k)	
仲	dʒyuŋ˨˦	
秋	tsʰiəw	
至	tʃɨ˨˦	
冬。	tuŋ	
在	dzai˨˦	
官	kwɔn	
八	paʔ(t)	
十	ʃʱiʔ(p)˩	
餘	jy˩	
日。	ʒiʔ(t)˩	
因	ʔin	
事	ʂʱɨ˨˦	
順	ʃʱyun˨˦	
心。	sim	
命	miŋ˨˦	
篇	pʰiɛn	
曰	jyuɛʔ(t)˩	
歸	kui	
去	kʰy˨˦	
來	lai˩	
兮。	ɦiɪi˩	
乙	ʔiʔ(t)	
巳	sʱɨ˨˦	
歲	sui˨˦	
十	ʃʱiʔ(p)˩	
一	ʔiʔ(t)	
月	(ŋ)jyuɛʔ(t)˩	
也。	jiɛ˥˧		
歸	kui	kiui
去	kʰy˨˦	kʰiɤʱ
來	lai˩	ləi
兮。	ɦiɪi˩	ɦe
田	tʱiɛn˩	den
園	jyuɛn˩	ɦwiɐn
將	tsiɑŋ	tsiɑŋ
蕪	vu˩	mwio
胡	ɦu˩	ɦo
不	puʔ(t)	piut
歸。	kui	kiui
既	ki˨˦	kiɨiʱ
自	dzɨ˨˦	dziʱ
以	ji˥˧	jɨ̋
心	sim	sim
爲	ui˩	ɦwie
形	ɦiŋ˩	ɦeŋ
役。	jyuəʔ(k)˩	jwiek
奚	ɦiɪi˩	ɦe
惆	tʃʰiəw	ʈʰiu
悵	tʃʰiɑŋ˨˦	ʈʰiɑŋʱ
而	ɻ˩	nʑɨ
獨	duʔ(k)˩	duk
悲。	pi	pi
悟	ŋu˨˦	ŋoʱ
已	ji˥˧	jɨ̋
往	wɑŋ˥˧	ɦwiɑ̋ŋ
之	tʃɨ	tɕɨ
不	puʔ(t)	piu
諫。	kian˨˦	kɣanʱ
知	tʃi	ʈie
來	lai˩	ləi
者	tʃiɛ˥˧	tɕia̋
之	tʃɨ	tɕɨ
可	kʰɔ˥˧	kʰɑ̋
追。	tʃui	ʈwi
實	ʃʱiʔ(t)˩	ʑit
迷	miɪi˩	me
途	tʱu˩	do
其	kʱi˩	ɡɨ
未	vi˨˦	miuiʱ
遠。	jyuɛn˥˧	ɦwiɐ̋n
覺	kiɒʔ(k)	kɣɔk
今	kim	kim
是	ʃʱi˨˦	dʑie̋
而	ɻ˩	nʑɨ
昨	dzɒʔ(k)˩	dzɑk
非。	fi	piui
舟	tʃiəw	tɕiu
遙	jiɛw˩	jiew
遙	jiɛw˩	jiew
以	ji˥˧	jɨ̋
輕	kʰiŋ	kʰieŋ
颺。	jiɑŋ˨˦	jiɑŋʱ
風	fuŋ	piuŋ
飄	pʰiɛw	pʰjiew
飄	pʰiɛw	pʰjiew
而	ɻ˩	nʑɨ
吹	tʃʰui	tɕʰwie
衣。	ʔi	ʔiɨi
問	vun˨˦	miunʱ
征	tʃiŋ	tɕieŋ
夫	fu	pwio
以	ji˥˧	jɨ̋
前	tsʱiɛn˩	dzen
路。	lu˨˦	loʱ
恨	ɦən˨˦	ɦənʱ
晨	ʃʱin˩	dʑin
光	kwɑŋ	kwɑŋ
之	tʃɨ	tɕɨ
熹	hi	hɨ
微。	vi˩	miui
乃	nai˥˧	nə̋i
瞻	tʃiɛm	tɕiem
衡	ɦ(i)əŋ˩	ɦɣaŋ
宇。	jy˥˧	ɦwiő
