#《孟子音義》中古音及中州音
# 孟子音義 in Middle Chinese and Classical Mandarin.
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
# Middle Chinese is in Baxter transcription. Mandarin pronunciation follows the system of 洪武正韻譯訓.
# Compiled by hhliow.
# Work in progress.

孟子音義 宋 孫奭 撰
volume_index	chapter_index	is_new_entry	char	mc	mandarin
0	0	YES	孟		
0	0		子		
0	0		題		
0	0		辭		
0	0	YES	趙		
0	0		氏		
0	0	YES	通		
0	0		稱	tsyhingH	tʃʰǐŋ
0	0	YES	邾	trju	tʃy
0	0	YES	所		
0	0		并	pjiengH	pǐŋ
0	0	YES	長	trjangX	tʃiɑ̂ŋ
0	0		師		
0	0	YES	縱	tsjowng	tsyuŋ
0	0	YES	隳	xjwie	hui
0	0	YES	墨		
0	0		翟	dek	dȉk
0	0	YES	壅		
0	0		底	tejX	tî
0	0	YES	迂	’ju/hju	ʔy/jy̏
0	0	YES	值	driH	dʒǐ
0	0		炎		
0	0	YES	信	syin	ʃin
0	0		三		
0	0	YES	詒	yi	jȉ
0	0		後		
0	0	YES	難	nanH	nǎn
0	0		疑		
0	0	YES	繫	hejH	ɦǐ
0	0	YES	錧	kwanX	kwɔ̂n
0	0		鎋	haet	ɦiȁt
0	0	YES	衿	kim	kim
0	0	YES	問		
0	0		陳	drinH	dʒǐn
0	0	YES	毁		
0	0		鬲	keak/lek	kək/lȉk
0	0	YES	焉	’jen	ʔiɛn
0	0		能		
0	0	YES	依		
0	0		放	pjangX	fɑ̂ŋ
0	0	YES	遂		
0	0		絀	trhwit	tʃʰyt
0	0	YES	罷		
0	0		傳	drjwenH	dʒyuɛ̌n
0	0	YES	心		
0	0		勦	tsjewX	tsiɛ̂w
0	0	YES	形		
0	0		瘵	tsreajH	ʈʂǎi
0	0	YES	弛	syeX	ʃɨ̂
0	0		擔	tamH	tǎm
0	0	YES	睠	kjwenH	kyuɛ̌n
0	0	YES	漂	phjiew	pʰiɛw
0	0	YES	亂		
0	0		思	siH	sɨ̌
0	0	YES	緼	’junX	ʔyûn
0	0		奥		
0	0	YES	章		
0	0		别	pjet	piɛt
1	0	YES	以		
1	0		為	hjweH	ǔi
1	1	YES	放	pjangX	fɑ̂ŋ
1	1		於		
1	1	YES	夷		
1	1		羿	ngejH	ŋǐ
1	1	YES	饜	’jiem/’jiemH	ʔiɛm/ʔiɛ̌m
1	1	YES	復	bjuwH	fʱǒw
1	1		申		
1	1	YES	重	drjowngH	dʒyǔŋ
1	1		嗟		
1	2	YES	亦		
1	2		樂	lak	lɒ̏k
1	2	YES	王		
1	2		好	xawH	hǎw
1	2	YES	集		
1	2		穆		
1	2	YES	夸		
1	2		咤	trhaeH	ʈʂʰǎ
1	2	YES	規		
1	2		度	dak	dɒ̏k
1	2	YES	亟	kik	kik
1	2	YES	不		
1	2		督	towk	tuk
1	2	YES	來		
1	2		趣	tshju/tshjuH	tsʰy/tsʰy̌
1	2	YES	麀		
1	2	YES	鶴	haewk	ɦiɒ̏k
1	2		鶴	haewk	ɦiɒ̏k
1	2	YES	於	’jo?	ʔy?
1	2		牣	nyinH	ʒǐn
1	2	YES	歡		
1	2		樂		
1	2	YES	害	hajH/hat	ɦǎi/ɦɔ̏t
1	2		䘮		
1	2	YES	及		
1	2		女	nyoX	ʒŷ
1	3	YES	大	thajH	tʰǎi
1	3		平		
1	3	YES	填	den	tʱiɛ̏n
1	3		然		
1	3	YES	者		
1	3		不	pjuwX	fôw
1	3	YES	直	drik/driH	dʒȉk/dʒǐ
1	3		不		
1	3	YES	勝	sying	ʃiŋ
1	3		食		
1	3	YES	數	tshjowk	tsʰjuk/tsʰuk
1	3		罟	kuX	kû
1	3	YES	洿	’u	ʔu
1	3	YES	䘮		
1	3		死		
1	3	YES	衣	’j+jH	ʔǐ
1	3		帛		
1	3	YES	數	srjuX?	ʂû?
1	3		口		
1	3	YES	不		
1	3		王	hjwangH	wɑ̌ŋ
1	3		者		
1	3	YES	風	pjuwngH	fǔŋ
1	3		王		
1	3	YES	餓		
1	3		莩	bjewX	biɛ̌w'
1	3	YES	莩	bjiewX/bjewX	biɛ̌w'
1	3		有		
1	3		梅		
1	3	YES	刺	tshjek/tshjeH	tsʰik/tsʰɨ̌
1	3		人		
1	3	YES	改		
1	3		行	haengH	ɦǐŋ
1	4	YES	以		
1	4		梃	dengX	dǐŋ'
1	4	YES	惡	’uH	ʔǔ
1	4		之		
1	4	YES	惡	’u	ʔu
1	4		在		
1	4	YES	俑	yowngX	jyûŋ
1	4	YES	夫	bju	fʱȕ
1	4		惡		
1	4	YES	死		
1	4		邪	yae	jiɛ̏
1	5	YES	長	trjangX	tʃiɑ̂ŋ
1	5		子		
1	5	YES	洒	sejX?	sî?
1	5		之		
1	5	YES	省	srjaengX	ʂə̂ŋ
1	5		刑		
1	5	YES	税		
1	5		斂	ljemH	liɛ̌m
1	5	YES	易	yeH	jǐ
1	5		耨	nuwH	nǒw
1	5	YES	以		
1	5		養	yangH	jiɑ̌ŋ
1	6	YES	語	ngjoH	ŋy̌
1	6		人		
1	6	YES	卒	tshwot	tsʰut
1	6		然		
1	6	YES	槁	khawX	kʰâw
1	6	YES	沛	phajH	pʰǔi
1	6	YES	浡	bwot	bȕt
1	6	YES	由	yuw	jiȍw
1	6		水		
1	7	YES	宓	bjuwk	fʱȕk
1	7	YES	戯	hje	hi
1	7	YES	齕	hot	ɦə̏t
1	7	YES	釁	xinH	hǐn
1	7	YES	舍	syaeX	ʃiɛ̂
1	7		之		
1	7	YES	觳	huwk	ɦȕk
1	7		觫	suwk	suk
1	7	YES	鐘		
1	7		與	yo	jy̏
1	7	YES	郄	khjaek	kʰik
1	7	YES	大	thajH	tʰǎi
1	7		祝		
1	7	YES	墮	xjwie	hui
1	7	YES	逺	hjwonH	jyuɛ̌n
1	7		庖		
1	7	YES	王		
1	7		説	ywet	jyuɛ̏t
1	7	YES	挾	hep	ɦiɛ̏p
1	7	YES	以		
1	7		超		
1	7	YES	折	tsyet	tʃiɛt
1	7		枝		
1	7	YES	罷	bje	pʱȉ
1	7		枝		
1	7	YES	少	syewH	ʃiɛ̌w
1	7		者		
1	7	YES	以		
1	7		御		
1	7	YES	思		
1	7		齊	tsreaj	ʈʂai
1	7	YES	適	tek	tik
1	7		妻		
1	7	YES	好	xawH	hǎw
1	7		惡	’uH	ʔǔ
1	7	YES	度	dak	dɒ̏k
1	7		之		
1	7	YES	便	bjien	pʱiɛ̏n
1	7		嬖	pejH/pjieH	pǐ
1	7	YES	辟	bjiek	bȉk
1	7		土		
1	7	YES	賈	kuX	kû
1	7	YES	愬	suH	sǔ
1	7	YES	惽	xwon	hun
1	7	YES	放		
1	7		辟	phjiek	pʰik
1	7	YES	邪		
1	7		侈	tsyheX	tʃʰɨ̂
1	7	YES	為		
1	7		已	yiX	jî
1	7	YES	罔		
1	7		民		
1	7	YES	焉	’jen	ʔiɛn
1	7		有		
1	7	YES	以		
1	7		畜	xjuwk	hyuk
1	7	YES	當	tangH	tɑ̌ŋ
1	7		章		
1	7	YES	譎	kwet	kyuɛt
2	1	YES	暴		
2	1		見	henH	ɦiɛ̌n
2	1	YES	王		
2	1		語	ngjoH	ŋy̌
2	1	YES	好	xawH	hǎw
2	1		樂		
2	1	YES	愠	’junH	ʔyǔn
2	1	YES	恚	’jwieH	ʔǔi/ɦǔi
2	1	YES	與		
2	1		民		
2	1		同		
2	1		樂	lak	lɒ̏k
2	1	YES	聞		
2	1		與	yo	jy̏
2	1	YES	獨		
2	1		樂	ngaewk	(ŋ)jiɒ̏k
2	1		樂	lak	lɒ̏k
2	1	YES	孰		
2	1		樂	lak	lɒ̏k
2	1	YES	為	hjweH	ǔi
2	1		王		
2	1	YES	舉		
2	1		疾		
2	1		首		
2	1		蹙	tsjuwk	tsyuk
2	1		頞	’at	ʔɔt
2	1	YES	隙	khjaek	kʰik
2	1	YES	何		
2	1		惡	’uH	ʔǔ
2	2	YES	於		
2	2		傳	drjwenH	dʒyuɛ̌n
2	2	YES	蕘	nyew	ʒiɛ̏w
2	2	YES	刈	ngjojH	ŋǐ
2	2	YES	為		
2	2		阱	dzjengH	dzǐŋ
2	3	YES	混	kwon	kun
2	3		夷		
2	3	YES	喙	xjwojH	hǔi
2	3	YES	大	thajH	tʰǎi
2	3		王		
2	3	YES	獯	xjun	hyun
2	3		鬻	yuwk	jyȕk
2	3	YES	勾	kuw	kow
2	3		踐		
2	3	YES	㑹	kwajH	kǔi
2	3	YES	夫	bju	fʱȕ
2	3		差		
2	3	YES	樂	lak	lɒ̏k
2	3		天		
2	3	YES	彼		
2	3		惡	’u	ʔu
2	3	YES	瞋	tsyhin	tʃʰin
2	3	YES	書		
2	3		曰		
2	3		天		
2	3		降		
2	3		下		
2	3		民		
2	3		至		
2	3		越		
2	3		厥		
2	3		志		
2	3	YES	衡	hwaeng?	ɦwə̏ŋ?
2	3		行		
2	4	YES	從	tsjowngH	tsyǔŋ
2	4		欲		
