#《五人墓碑記》中州音
#version: 20180717
#author: hhliow (github.com/hhliow)
#license: cc by-nc-sa 4.0
五	ŋû
人	ʒȉn
者。	tʃiɛ̂
蓋	kǎi
當	tɑŋ
蓼	liɛ̂w
洲	tʃiow
周	tʃiow
公	kuŋ
之	tʃi
被	bǐ
逮。	dǎi
激	kik
于	jy̏
義	jǐ
而	ɻȉ
死	sɨ̂
焉	jiɛ̏n
者	tʃiɛ̂
也。	jiɛ̂
至	tʃǐ
于	jy̏
今	kim
郡	gyǔn
之	tʃi
賢	ɦiɛ̏n
士	ʃʒǐ(ʂʐɨ̌?)
大	dǎi
夫。	fu
請	tshîŋ
於	jy̏
當	tɑŋ
道。	dǎw
即	tsik
除	tʃhy̏
逆	ŋȉk
閹	ʔiɛm
廢	fǐ
祠	szɨ̏
之	tʃi
址	tʃî
以	jî
葬	tsɑ̌ŋ
之。	tʃi
且	tshiɛ̂
立	lȉp
石	ʃʒȉk
于	jy̏
其	khȉ
墓	mǔ
之	tʃi
門。	mȕn
以	jî
旌	tsiŋ
其	khȉ
所	ʂû
爲。	ȕi
嗚	ʔǔ
呼	hu
亦	jȉk
盛	ʃʒǐŋ
矣	jî
哉。	tsai
夫	fvȕ
五	ŋû
人	ʒȉn
之	tʃi
死。	sɨ̂
去	khy̌
今	kim
之	tʃi
墓	mǔ
而	ɻȉ
葬	tsɑ̌ŋ
焉。	jiɛ̏n
其	khȉ
爲	ȕi
時	ʃʒȉ
止	tʃî
十	ʃʒȉp
有	jiǒw
一	ʔit
月	ŋyuɛ̏t
耳。	ɻî
夫	fvȕ
十	ʃʒȉp
有	jiǒw
一	ʔit
月	ŋyuɛ̏t
之	tʃi
中。	tʃyuŋ
凡	fvȁm
富	fǒw
貴	kǔi
之	tʃi
子。	tsɨ̂
慷	khɑ̂ŋ
慨	khǎi
得	tək
志	tʃǐ
之	tʃi
徒。	thȕ
其	khȉ
疾	dzȉt
病	bǐŋ
而	ɻȉ
死。	sɨ̂
死	sɨ̂
而	ɻȉ
堙	ʔin
沒	mȕt
不	pu
足	tsyuk
道	dǎw
者。	tʃiɛ̂
亦	jȉk
已	jî
衆	tʃiǔŋ
矣。	jî
況	hwɑ̌ŋ
草	tshâw
野	jiɛ̂
之	tʃi
無	vȕ
聞	vǔn
者	tʃiɛ̂
歟。	jy̏
獨	dȕk
五	ŋû
人	ʒȉn
之	tʃi
皦	kiɛ̂w
皦。	kiɛ̂w
何	ɦɔ̏
也。	jiɛ̂
予	jy̏
猶	jiȍw
記	kǐ
周	tʃiow
公	kuŋ
之	tʃi
被	bǐ
逮。	dǎi
在	dzǎi
丁丙	tiŋ(pîŋ?)
卯寅	mâw(jȉn?)
三	sam
月	ŋyuɛ̏t
之	tʃi
望。	vɑ̌ŋ
吾	ŋȕ
社	ʃʒiɛ̌
之	tʃi
行	ɦiə̌ŋ
爲	ȕi
士	ʃʒǐ(ʂʐɨ̌?)
先	siɛn
者。	tʃiɛ̂
爲	ǔi
之	tʃi
聲	ʃiŋ
義。	jǐ
斂	liɛ̌m
貲	tsɨ
財	tshȁi
以	jî
送	sǔŋ
其	khȉ
行。	ɦiə̏ŋ
哭	khuk
聲	ʃiŋ
震	tʃǐn
動	dǔŋ
天	thiɛn
地。	dǐ
緹	thiȅi
騎	gǐ
按	ʔɔ̌n
劍	kiɛ̌m
而	ɻȉ
前。	tshiɛ̏n
問。	vǔn
誰	ʃʒȕi
爲	ǔi
哀	ʔai
者。	tʃiɛ̂
衆	tʃiǔŋ
不	put
能	nə̏ŋ
堪。	kham
抶	tʃhit
而	ɻȉ
仆	bə̏k
之。	tʃi
是	ʃʒǐ
時	ʃʒȉ
以	jî
大	dǎi
中	tʃyuŋ
丞	tʃhȉŋ
撫	fû
吳	ŋȕ
者。	tʃiɛ̂
爲	ǔi
魏	ŋǔi
之	tʃi
私	sɨ
人。	ʒȉn
周	tʃiow
公	kuŋ
之	tʃi
逮。	dǎi
所	ʂû
由	jiȍw
使	ʂî
也。	jiɛ̂
吳	ŋȕ
之	tʃi
民	mȉn
方	fɑŋ
痛	thǔŋ
心	sim
焉。	jiɛ̏n
于	jy̏
是	ʃʒǐ
乘	tʃhȉŋ
其	khȉ
厲	liěi
聲	ʃiŋ
以	jî
呵。	hɔ
則	tsək
譟	sǎw
而	ɻȉ
相	siɑŋ
