#《禮記·中庸》中古音及中州音
# v20190526
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
char	middle_chinese	mandarin	reference
天	then	tʰiɛn	
命	mjaengH	miŋ˨˦	
之	tsyi	tʃɨ	
謂	hjw+jH	ui˨˦	
性。	sjengH	siŋ˨˦	
率	srwit	ʂwəʔ(t)	【音義】
性	sjengH	siŋ˨˦	
之	tsyi	tʃɨ	
謂	hjw+jH	ui˨˦	
道。	dawX	daw'˨˦	
修	sjuw	siw	
道	dawX	daw'˨˦	
之	tsyi	tʃɨ	
謂	hjw+jH	ui˨˦	
教。	kaewH	kiaw˨˦	
道	dawX	daw'˨˦	
也	yaeX	jiɛ˥˧	
者。	tsyaeX	tʃiɛ˥˧	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
須	sju	sy	
臾	yu	jy˩	
離	ljeH	li˨˦	【音義】【集註】
也。	yaeX	jiɛ˥˧	
可	khaX	kʰɔ˥˧	
離	ljeH	li˨˦	【音義】【集註】
非	pj+j	fi	
道	dawX	daw'˨˦	
也。	yaeX	jiɛ˥˧	
是	dzyeX	ʃʱɨ'˨˦	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
戒	keajH	kiai˨˦	
愼	dzyinH	ʃʱin˨˦	
乎	hu	ɦu˩	
其	gi	kʱi˩	
所	srjoX	ʂu˥˧	
不	pjuw	puʔ(t)	
睹。	tuX	tu˥˧	【音義】
恐	khjowngX	kʰyuŋ˥˧	【音義】
懼	gjuH	gy˨˦	
乎	hu	ɦu˩	
其	gi	kʱi˩	
所	srjoX	ʂu˥˧	
不	pjuw	puʔ(t)	
聞。	mjun	vun˩	
莫	mak	mɒʔ(k)˩	
見	henH	ɦiɛn˨˦	【音義】【集註】
乎	hu	ɦu˩	
隱。	’j+nX	ʔin˥˧	
莫	mak	mɒʔ(k)˩	
顯	xenX	hiɛn˥˧	
乎	hu	ɦu˩	
微。	mj+j	vi˩	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
愼	dzyinH	ʃʱin˨˦	
其	gi	kʱi˩	
獨	duwk	duʔ(k)˩	
也。	yaeX	jiɛ˥˧	
喜	xiX	hi˥˧	
怒	nuH	nu˨˦	
哀	’oj	ʔai	
樂	lak	lɒʔ(k)˩	【音義】【集註】
之	tsyi	tʃɨ	
未	mj+jH	vi˨˦	
發。	pjot	faʔ(t)	
謂	hjw+jH	ui˨˦	
之	tsyi	tʃɨ	
中。	trjuwng	tʃyuŋ	
發	pjot	faʔ(t)	
而	nyi	ɻ˩	
皆	keaj	kiai	
中	trjuwngH	tʃyuŋ˨˦	【音義】【集註】
節。	tset	tsiɛʔ(t)	
謂	hjw+jH	ui˨˦	
之	tsyi	tʃɨ	
和。	hwa	ɦwɔ˩	
中	trjuwng	tʃyuŋ	
也	yaeX	jiɛ˥˧	
者。	tsyaeX	tʃiɛ˥˧	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
大	dajH	dai˨˦	
本	pwonX	pun˥˧	
也。	yaeX	jiɛ˥˧	
和	hwa	ɦwɔ˩	
也	yaeX	jiɛ˥˧	
者。	tsyaeX	tʃiɛ˥˧	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
達	dat	daʔ(t)˩	
道	dawX	daw'˨˦	
也。	yaeX	jiɛ˥˧	
致	trijH	tʃi˨˦	
中	trjuwng	tʃyuŋ	
和。	hwa	ɦwɔ˩	
天	then	tʰiɛn	
