#《禮記·射義》中州音
# version: 20180717
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
	洪武正韻音
古	kû
者	tʃiɛ̂
諸	tʃy
侯	ɦȍw
之	tʃi
射	ʃʒiɛ̌
也。	jiɛ̂
必	pit
先	siɛn
行	ɦiə̏ŋ
燕	ʔiɛ̌n
禮。	lî
卿	khiŋ
大	dǎi
夫	fu
士	ʂʐɨ̌'
之	tʃi
射	ʃʒiɛ̌
也。	jiɛ̂
必	pit
先	siɛn
行	ɦiə̏ŋ
鄉	hiɑŋ
飲	ʔîm
酒	tsiôw
之	tʃi
禮。	lî
故	kǔ
燕	ʔiɛ̌n
禮	lî
者。	tʃiɛ̂
所	ʂû
以	jî
明	mȉŋ
君	kyun
臣	tʃhȉn
之	tʃi
義	jǐ
也。	jiɛ̂
鄉	hiɑŋ
飲	ʔîm
酒	tsiôw
之	tʃi
禮	lî
者。	tʃiɛ̂
所	ʂû
以	jî
明	mȉŋ
長	tʃiɑ̂ŋ
幼	ʔiǒw
之	tʃi
序	szy̌'
也。	jiɛ̂
故	kǔ
射	ʃʒiɛ̌
者。	tʃiɛ̂
進	tsǐn
退	thǔi
周	tʃiow
還	szyuɛ̏n
必	pit
中	tʃyǔŋ
禮。	lî
內	nǔi
志	tʃǐ
正。	tʃǐŋ
外	ŋwǎi
體	thî
直。	dʒȉk
然	ʒiɛ̏n
後	ɦǒw'
持	tʃhȉ
弓	kyuŋ
矢	ʃî
審	ʃîm
固。	kǔ
持	tʃhȉ
弓	kyuŋ
矢	ʃî
審	ʃîm
固。	kǔ
然	ʒiɛ̏n
後	ɦǒw'
可	khɔ̂
以	jî
言	jiɛ̏n
中。	tʃyǔŋ
此	tshɨ̂
可	khɔ̂
以	jî
觀	kwɔn
德	tək
行	ɦiə̌ŋ
矣。	jî
其	khȉ
節。	tsiɛt
天	thiɛn
子	tsɨ̂
以	jî
騶	tʂow
虞	ŋy̏
爲	ȕi
節。	tsiɛt
諸	tʃy
侯	ɦȍw
以	jî
貍	lȉ
首	ʃiôw
爲	ȕi
節。	tsiɛt
卿	khiŋ
大	dǎi
夫	fu
以	jî
采	tshâi
蘋	phȉn
爲	ȕi
節。	tsiɛt
士	ʂʐɨ̌'
以	jî
采	tshâi
繁	fvȁn
爲	ȕi
節。	tsiɛt
騶	tʂow
虞	ŋy̏
者。	tʃiɛ̂
樂	ŋiǎw/ŋiɔ̏k
官	kwɔn
備	bǐ
也	jiɛ̂
貍	lȉ
首	ʃiôw
者。	tʃiɛ̂
樂	ŋiǎw/ŋiɔ̏k
會	ɦǔi
時	ʃʒȉ
也。	jiɛ̂
采	tshâi
蘋	phȉn
者。	tʃiɛ̂
樂	ŋiǎw/ŋiɔ̏k
循	szyȕn
法	fap
也。	jiɛ̂
采	tshâi
繁	fvȁn
者。	tʃiɛ̂
樂	ŋiǎw/ŋiɔ̏k
不	put
失	ʃit
職	tʃik
也。	jiɛ̂
是	ʃʒǐ'
故	kǔ
天	thiɛn
子	tsɨ̂
以	jî
備	bǐ
官	kwɔn
爲	ȕi
節。	tsiɛt
諸	tʃy
侯	ɦȍw
以	jî
時	ʃʒȉ
會	ɦǔi
天	thiɛn
子	tsɨ̂
爲	ȕi
節。	tsiɛt
卿	khiŋ
大	dǎi
夫	fu
以	jî
循	szyȕn
法	fap
爲	ȕi
節。	tsiɛt
士	ʂʐɨ̌'
以	jî
不	put
失	ʃit
職	tʃik
爲	ȕi
節。	tsiɛt
故	kǔ
明	mȉŋ
乎	ɦȕ
其	khȉ
節	tsiɛt
之	tʃi
志。	tʃǐ
以	jî
不	put
失	ʃit
其	khȉ
事。	ʂʐɨ̌
則	tsək
功	kuŋ
成	tʃhȉŋ
而	ɻ̏
德	tək
行	ɦiə̌ŋ
立。	lȉp
德	tək
行	ɦiə̌ŋ
立。	lȉp
則	tsək
無	vȕ
暴	bǎw
亂	lwɔ̌n
之	tʃi
禍	ɦwɔ̌'
矣。	jî
功	kuŋ
成	tʃhȉŋ
則	tsək
國	kwək
安。	ʔɔn
故	kǔ
曰。	yuɛ̏t
射	ʃʒiɛ̌
者	tʃiɛ̂
所	ʂû
以	jî
觀	kwɔn
盛	ʃʒǐŋ
德	tək
也。	jiɛ̂
是	ʃʒǐ'
故	kǔ
古	kû
者	tʃiɛ̂
天	thiɛn
子。	tsɨ̂
以	jî
射	ʃʒiɛ̌
選	syuɛ̂n
諸	tʃy
侯	ɦȍw
卿	khiŋ
大	dǎi
夫	fu
士。	ʂʐɨ̌'
射	ʃʒiɛ̌
者。	tʃiɛ̂
男	nȁm
子	tsɨ̂
之	tʃi
事	ʂʐɨ̌
也。	jiɛ̂
因	ʔin
而	ɻ̏
飾	ʃik
之	tʃi
以	jî
禮	lî
樂	ŋiɔ̏k
也。	jiɛ̂
故	kǔ
事	ʂʐɨ̌
之	tʃi
盡	dzǐn'
禮	lî
樂。	ŋiɔ̏k
而	ɻ̏
可	khɔ̂
數	ʂɔk
爲。	ȕi
以	jî
立	lȉp
德	tək
行	ɦiə̌ŋ
者。	tʃiɛ̂
莫	mɔ̏k
若	ʒiɔ̏k
射。	ʃʒiɛ̌
故	kǔ
聖	ʃǐŋ
王	wɑ̏ŋ
務	vǔ
焉。	jiɛ̏n
是	ʃʒǐ'
故	kǔ
古	kû
者	tʃiɛ̂
天	thiɛn
子	tsɨ̂
之	tʃi
制。	tʃiěi
諸	tʃy
侯	ɦȍw
歲	sǔi
獻	hiɛ̌n
貢	kǔŋ
士	ʂʐɨ̌'
於	ʔy
天	thiɛn
子。	tsɨ̂
天	thiɛn
子	tsɨ̂
試	ʃǐ
之	tʃi
于	jy̏
射	ʃʒiɛ̌
宮。	kyuŋ
其	khȉ
容	jyȕŋ
體	thî
比	bǐ
於	ʔy
禮。	lî
其	khȉ
節	tsiɛt
比	bǐ
於	ʔy
樂。	ŋiɔ̏k
而	ɻ̏
中	tʃyǔŋ
多	tɔ
者。	tʃiɛ̂
得	tək
與	ʔy̌
于	jy̏
祭。	tsǐ
其	khȉ
